TransactionID,Amount,CustomerID,FraudIndicator
1,55.53033443,1952,0
2,12.88118019,1027,0
3,50.17632152,1955,0
4,41.63400105,1796,0
5,78.12285327,1946,0
6,86.94708413,1204,0
7,51.14709648,1311,0
8,56.16398431,1693,0
9,37.18241172,1347,1
10,17.24540904,1574,0
11,86.18094791,1424,0
12,95.55400892,1302,0
13,47.13851441,1321,0
14,98.80425008,1700,0
15,99.83263446,1321,0
16,20.73503915,1463,0
17,44.54511885,1962,0
18,27.05493667,1854,0
19,13.61551916,1651,1
20,20.80228964,1715,0
21,36.04360522,1724,0
22,99.1004274,1117,0
23,85.42017819,1613,0
24,84.05328459,1643,0
25,50.25861245,1788,0
26,52.59392865,1251,0
27,20.48932094,1960,0
28,12.39744274,1187,0
29,25.33480349,1121,0
30,70.07512698,1117,0
31,92.61930298,1475,0
32,77.72694417,1993,0
33,59.35099004,1030,0
34,61.34763595,1116,0
35,60.47401633,1676,0
36,42.20773348,1547,0
37,71.26856792,1527,0
38,46.21498241,1087,0
39,14.63168949,1207,0
40,80.53777563,1038,0
41,47.87485135,1800,0
42,85.10981611,1510,0
43,55.81926586,1104,0
44,86.97191974,2000,0
45,69.75758075,1644,0
46,79.35791579,1238,0
47,72.74250983,1759,0
48,17.64056948,1994,0
49,30.79372808,1752,1
50,61.3529794,1415,0
51,42.07616321,1044,0
52,90.81333791,1374,0
53,42.08401695,1345,0
54,87.77609114,1680,0
55,62.13088123,1043,0
56,83.15175522,1611,0
57,49.72378631,1704,0
58,13.08174128,1405,0
59,28.62756065,1161,0
60,82.91599923,1336,0
61,76.11459128,1714,0
62,66.56159118,1865,0
63,50.5171143,1702,0
64,55.16274495,1483,0
65,78.33451389,1139,0
66,51.41448798,1108,0
67,81.34788954,1056,0
68,95.23140544,1548,0
69,87.15831943,1887,0
70,78.69681169,1897,0
71,23.80623682,1154,0
72,57.31615922,1286,1
73,67.92604331,1149,0
74,16.2634488,1158,0
75,13.42002255,1606,0
76,42.76855555,1422,0
77,41.21158342,1007,0
78,58.13859006,1985,0
79,14.63466416,1776,0
80,19.13759152,1159,0
81,29.83486576,1493,0
82,38.43137755,1322,0
83,18.11076187,1731,0
84,22.97242859,1876,0
85,22.45289288,1920,0
86,70.51131967,1618,0
87,78.55221407,1054,0
88,35.60124184,1886,0
89,26.00722368,1071,0
90,85.36034194,1975,0
91,48.09673926,1726,0
92,29.0341094,1435,0
93,98.1468594,1684,0
94,79.77488953,1277,0
95,50.3959204,1828,1
96,98.50268585,1466,0
97,18.16684547,1922,0
98,55.88720399,1183,0
99,76.84342858,1866,0
100,13.09722278,1514,0
101,58.92390638,1023,0
102,61.6589947,1012,0
103,12.45863527,1585,0
104,16.65104227,1914,0
105,64.17988754,1979,0
106,13.91509989,1995,0
107,58.08497529,1359,0
108,96.81058586,1609,0
109,48.73795925,1796,0
110,44.24378825,1685,0
111,22.58604799,1961,0
112,40.47944602,1740,0
113,74.44395712,1836,0
114,77.57986716,1120,0
115,40.6397918,1841,0
116,62.92191155,1930,0
117,43.70363742,1423,0
118,56.60485657,1575,0
119,17.72987463,1780,1
120,68.83486745,1894,0
121,32.34210737,1240,0
122,87.56655198,1167,0
123,70.83894726,1330,1
124,26.52979093,1171,0
125,88.2045675,1749,0
126,55.2028916,1069,0
127,55.48555001,1569,0
128,39.19964508,1537,0
129,49.8728689,1425,0
130,12.47335504,1761,0
131,75.9925365,1458,0
132,65.03159711,1588,0
133,92.36972522,1418,0
134,33.80095789,1299,0
135,14.5645152,1822,0
136,70.85855069,1152,0
137,80.7731617,1667,0
138,39.82540299,1669,0
139,12.18460187,1169,0
140,36.9412543,1574,0
141,61.41387642,1019,0
142,74.95521382,1017,0
143,86.47644807,1150,0
144,44.58604612,1087,0
145,45.94470336,1129,0
146,86.17240479,1234,0
147,19.68849651,1112,0
148,79.52197138,1066,0
149,10.86384497,1598,1
150,15.24013555,1117,0
151,46.26565187,1311,0
152,10.64214063,1998,0
153,40.52631372,1123,0
154,55.74925986,1098,0
155,80.68702882,1836,0
156,58.7810534,1126,0
157,93.21260497,1105,0
158,48.93431687,1634,0
159,75.8489697,1768,0
160,99.24329386,1271,1
161,97.62385249,1935,0
162,68.36222224,1666,1
163,52.74055838,1495,0
164,88.7572885,1982,0
165,70.65807372,1127,0
166,16.56039638,1437,0
167,36.87248197,1145,0
168,37.97774881,1477,0
169,37.40762141,1727,0
170,27.45989544,1365,0
171,16.46882448,1239,0
172,95.81318707,1422,0
173,63.47667766,1089,0
174,97.06552052,1407,1
175,13.59221031,1233,0
176,18.04295486,1474,0
177,57.40080966,1059,0
178,91.89645671,1596,0
179,67.30165835,1800,0
180,79.45616782,1117,0
181,74.5937657,1548,0
182,90.05004587,1084,0
183,71.65549551,1591,0
184,76.74484865,1107,0
185,30.73140745,1449,0
186,13.94613718,1997,0
187,86.27614398,1825,0
188,39.15191297,1609,0
189,63.75541221,1439,0
190,13.93665698,1122,0
191,39.27911887,1542,0
192,61.2928509,1024,0
193,61.58502548,1804,0
194,25.80762678,1394,0
195,60.16279501,1377,0
196,73.95115481,1860,0
197,41.60066615,1022,0
198,77.50218978,1599,0
199,60.7007598,1281,1
200,10.86708774,1549,0
201,78.69908199,1237,0
202,13.56299126,1800,0
203,61.40287559,1167,0
204,68.40522341,1559,0
205,59.45638924,1764,0
206,94.5707514,1124,0
207,81.56433192,1095,0
208,58.42056073,1690,0
209,48.04486291,1359,0
210,27.51230202,1026,0
211,67.03130271,1596,0
212,78.56207411,1506,1
213,81.95667522,1219,0
214,66.2227877,1609,0
215,43.28842594,1788,0
216,91.44727684,1320,0
217,98.68616371,1194,0
218,84.03821815,1387,0
219,26.70590374,1381,0
220,95.66715462,1023,0
221,53.8479795,1292,0
222,67.75664736,1556,0
223,68.86554661,1616,0
224,32.33436858,1646,0
225,87.01593245,1678,0
226,34.5281136,1950,0
227,72.13258352,1995,1
228,55.79769592,1492,0
229,26.44706544,1395,0
230,99.71923371,1903,0
231,39.30443809,1442,0
232,48.95945027,1169,0
233,98.73461898,1767,0
234,69.33327246,1221,0
235,65.34894374,1806,0
236,69.82507208,1999,0
237,46.17260059,1506,0
238,55.20400597,1024,0
239,53.97929249,1359,0
240,45.00641712,1892,1
241,27.18554243,1830,0
242,25.42051713,1515,0
243,48.25294918,1479,0
244,38.65841154,1398,0
245,66.64627231,1848,0
246,67.64191353,1877,0
247,95.63285443,1965,0
248,81.69004136,1656,0
249,60.72469492,1180,0
250,60.55808101,1244,0
251,38.53310954,1406,0
252,39.64193471,1546,0
253,52.32859081,1316,0
254,61.15704513,1768,0
255,74.41673715,1983,0
256,16.70607949,1685,0
257,23.74031905,1441,0
258,72.19579593,1198,0
259,63.92237414,1990,0
260,32.12173424,1893,0
261,61.32263139,1558,0
262,54.47433021,1995,0
263,27.3369404,1253,0
264,31.30582519,1455,0
265,41.54205963,1017,0
266,32.85924468,1393,0
267,71.23473259,1866,0
268,26.61945951,1433,0
269,56.2795873,1229,0
270,79.53936402,1786,0
271,36.75441407,1432,1
272,58.17973708,1944,1
273,28.30389997,1512,0
274,35.92410077,1354,0
275,78.31270714,1873,0
276,35.05265258,1405,0
277,70.79730571,1958,0
278,61.10932034,1893,0
279,56.75461699,1535,0
280,16.21986005,1351,0
281,10.80241294,1848,0
282,66.5700245,1562,0
283,26.1339922,1817,0
284,17.31735493,1649,0
285,75.32446317,1505,0
286,30.76847777,1513,0
287,57.45622414,1604,0
288,73.30329705,1972,0
289,96.2332142,1165,1
290,77.30466543,1597,0
291,62.77388545,1462,0
292,56.55035975,1712,0
293,91.37503293,1100,0
294,35.15145131,1009,0
295,34.52085974,1770,0
296,95.32857785,1678,0
297,51.40358574,1953,0
298,20.66255753,1239,0
299,53.65543294,1322,0
300,46.2432624,1940,0
301,42.30380191,1994,0
302,98.06620816,1437,0
303,61.98793645,1135,0
304,15.08358251,1873,0
305,79.21418527,1233,0
306,14.32561896,1701,0
307,74.04598057,1392,0
308,13.77539183,1468,0
309,20.77344494,1759,0
310,76.94851056,1305,0
311,27.45311649,1060,0
312,61.47768761,1557,0
313,68.6404364,1157,0
314,39.75178064,1968,0
315,84.98269507,1555,0
316,29.29155594,1112,0
317,22.18984232,1292,0
318,64.22877239,1346,0
319,23.85431433,1129,0
320,85.99835244,1903,0
321,57.86994337,1078,0
322,88.09696867,1702,0
323,10.04748839,1466,0
324,24.83845006,1437,0
325,47.84508341,1783,0
326,14.61512053,1695,0
327,60.68884239,1172,0
328,61.23217478,1947,0
329,93.37250432,1086,0
330,95.76692181,1275,1
331,61.88904454,1657,0
332,70.86740451,1624,1
333,70.95760929,1729,1
334,47.59519155,1300,0
335,84.74839338,1311,0
336,64.29960606,1280,0
337,59.06558827,1058,0
338,59.40095528,1724,0
339,26.18399976,1067,0
340,69.17234281,1438,0
341,60.74497628,1531,0
342,60.98699494,1832,0
343,99.61607032,1382,0
344,84.49928399,1434,0
345,37.8730796,1440,0
346,38.6931672,1157,0
347,45.02844839,1328,0
348,66.47618425,1957,0
349,74.41312192,1033,0
350,43.45501372,1615,0
351,28.34342049,1286,0
352,70.00430347,1152,0
353,89.08776662,1137,0
354,66.08579501,1176,0
355,76.34999351,1281,0
356,60.30707464,1788,0
357,33.61255713,1048,0
